canonical_smiles,pIC50,n_measurements,pIC50_std
CC(=O)N1CCC2(CC1)C(=O)N(Cc1ccc(C(=O)NO)cc1)CN2c1ccccc1,7.698970004336019,1,
CC(=O)N1CCC2(CC1)CC(N1CCc3cc(C(=O)NO)cnc3C1)C2,6.259637310505756,1,
CC(=O)N1CCC2(CC1)CN(Cc1ccc(C(=O)NO)cc1)c1ccccc12,7.200659450546418,1,
CC(=O)N1CCCC2(CC(=O)c3cc(/C=C/C(=O)NO)ccc3O2)C1,6.684029654543082,1,
CC(=O)N1CCCC2(CC1)CC(=O)c1cc(/C=C/C(=O)NO)ccc1O2,6.490797477668897,1,
CC(=O)N1CCN(CC(=O)N(Cc2ccc(-c3noc(C(F)(F)F)n3)cc2)c2cccc(C(F)(F)F)c2)CC1,7.6777807052660805,1,
CC(=O)N1CCN(c2ccc3c(c2)C(C)(C)C(=O)N(Cc2ccc(-c4nnc(C(F)F)o4)cn2)C3=O)CC1,7.568636235841012,1,
CC(=O)N1CCN(c2ccc3c(c2)C(C)(C)C(=O)N(Cc2ccc(-c4nnc(C(F)F)o4)cn2)C3=O)CC12CC2,7.958607314841775,1,
CC(=O)N1CCN(c2ncc(C(=O)NO)s2)CC1,5.552841968657781,1,
CC(=O)N1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,7.102372908709558,1,
CC(=O)N1CCc2c1cccc2N1C(=O)N(Cc2ccc(-c3nnc(C(F)F)o3)cn2)C(=O)C1(C)C,7.167491087293763,1,
CC(=O)N1Cc2c(F)cc(-c3noc(C(F)(F)F)n3)cc2OC[C@@H]1C,6.455931955649724,1,
CC(=O)N1[C@H](C)CN(S(=O)(=O)N(Cc2ccc(-c3nnc(C(F)F)o3)cc2)c2cccnc2)C[C@@H]1C,4.116440763807179,1,
CC(=O)N1[C@H](C)CN(S(=O)(=O)N(Cc2ccc(-c3nnc(C(F)F)o3)cn2)c2ccccc2)C[C@@H]1C,4.140387421469351,1,
CC(=O)N1c2ccc(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C,6.376750709602099,1,
CC(=O)NC(Cc1ccc(-c2noc(C(F)(F)F)n2)cn1)c1cccc(C(F)(F)F)c1,7.795880017344075,1,
