canonical_smiles,r_i_docking_score,n_measurements
C=CCn1c([C@H](C)NC(=O)c2ccco2)nc2ccccc21,-6.17519,1
C=CCn1c([C@H]2CC(=O)N(CCOC)C2)nc2ccccc21,-7.10915,1
C=CCn1c2ccccc2c2nnc(S[C@@H](CC)C(=O)Nc3ccc(NC(C)=O)cc3)nc21,-8.40595,1
C=CCn1c2ccccc2c2nnc(S[C@H](CC)C(=O)Nc3ccc(NC(C)=O)cc3)nc21,-8.41213,1
CC(=O)/C=C/c1ccc(C[N@@H+](C)CCc2cc3ccccc3[nH]2)cc1,-8.786,1
CC(=O)/C=C/c1ccc2c(c1)nc(COCc1ccccc1)n2C,-8.55,1
CC(=O)CCCCCNC(=O)Cn1cnc2cnc(Nc3ccccc3)nc21,-8.909,1
CC(=O)COc1ccc(CCNC(=O)Cc2ccccc2)cc1,-8.952,1
CC(=O)CSc1nc(-c2cccs2)cc(C(F)(F)F)c1C#N,-6.08846,1
CC(=O)Cc1n[nH]c2cc(-c3cncnc3)ccc12,-8.867,1
CC(=O)Cc1n[nH]c2ccccc12,-8.911,1
CC(=O)Cn1ncc2cc(-c3cn[nH]c3)ccc21,-8.813,1
CC(=O)N(CN1C(=O)c2ccc([N+](=O)[O-])cc2C1=O)c1ccc(F)cc1,-2.18984,1
CC(=O)N/C(=N/c1nc(C)cc(C)n1)Nc1ccc(C)cc1,-3.07901,1
CC(=O)N/C(=N/c1nc(C)cc(C)n1)Nc1ccc(NC(C)=O)cc1,-3.40774,1
CC(=O)N1CCC(N(CCC(C)C)C(=S)Nc2cc(F)cc(F)c2)CC1,-3.31849,1
CC(=O)N1CCC(N(CCCOC(C)C)C(=S)Nc2cc(F)cc(F)c2)CC1,-5.93488,1
CC(=O)N1CCCSc2ccc(S(=O)(=O)NCc3ccc(OC(C)C)cc3)cc21,-5.27458,1
CC(=O)N1CCCSc2ccc(S(=O)(=O)Nc3cccc(C#N)c3)cc21,-6.3849,1
CC(=O)N1CCN(CC/N=C/C2=C(O)C[C@@H](c3ccccc3)CC2=O)CC1,-5.60015,1
CC(=O)N1CCN(CC/N=C/C2=C(O)C[C@H](c3ccccc3)CC2=O)CC1,-4.7277,1
CC(=O)N1CCN(CC/N=C\C2=C(O)C[C@@H](c3ccc(F)cc3)CC2=O)CC1,-5.62698,1
CC(=O)N1CCN(CC/[NH+]=C\C2=C(O)C[C@@H](c3ccc(F)cc3)CC2=O)CC1,-4.25531,1
CC(=O)N1CCN(CCNC=C2C(=O)CC(c3ccc(Cl)cc3)CC2=O)CC1,-6.05111,1
CC(=O)N1CCN(CCNC=C2C(=O)CC(c3ccc(F)cc3)CC2=O)CC1,-6.12555,1
CC(=O)N1CCN(CCNC=C2C(=O)CC(c3ccccc3)CC2=O)CC1,-5.76431,1
CC(=O)N1CCN(Cc2[nH+]c3cc(NC(=O)c4cccs4)ccc3n2C)CC1,-4.94015,1
CC(=O)N1CCN(Cc2nc3cc(NC(=O)COc4cccc(C)c4)ccc3n2C)CC1,-4.66121,1
CC(=O)N1CCN(Cc2nc3cc(NC(=O)c4cccs4)ccc3n2C)CC1,-3.17348,1
CC(=O)N1CCN([C@@H](c2ccc(C)cc2)c2sc3nc(-c4ccco4)nn3c2O)CC1,-2.5121,1
CC(=O)N1CCN([C@@H](c2ccc(C)cc2)c2sc3nc(-c4ccco4)nn3c2[O-])CC1,-4.66052,1
CC(=O)N1CCN(c2oc(-c3ccc(C)cc3)nc2S(=O)(=O)c2ccc(F)cc2)CC1,-5.22525,1
CC(=O)N1CCN(c2oc(-c3ccc(COc4ccccc4C)o3)nc2C#N)CC1,-6.28758,1
CC(=O)N1CCN(c2oc(-c3ccc(F)cc3)nc2S(=O)(=O)c2ccc(F)cc2)CC1,-6.58712,1
CC(=O)N1CCN(c2oc(-c3cccc(Cl)c3)nc2S(=O)(=O)c2ccc(C)cc2)CC1,-6.51764,1
CC(=O)N1CCN(c2oc(-c3ccccc3)nc2S(=O)(=O)c2ccc(C)cc2)CC1,-5.86063,1
CC(=O)N1CCN(c2oc(-c3ccccc3)nc2S(=O)(=O)c2ccc(Cl)cc2)CC1,-6.44069,1
CC(=O)N1CCN(c2oc(-c3ccccc3Cl)nc2S(=O)(=O)c2ccc(C)cc2)CC1,-6.15698,1
CC(=O)N1CCN(c2oc(-c3ccco3)nc2S(=O)(=O)c2ccc(C)cc2)CC1,-6.69604,1
CC(=O)N1CCN(c2oc(-c3ccco3)nc2S(=O)(=O)c2ccccc2)CC1,-6.79754,1
CC(=O)N1CCSc2ccc(S(=O)(=O)[N-]c3cccc(C#N)c3)cc21,-3.17848,1
CC(=O)N1CC[NH+](CCNC=C2C(=O)CC(c3ccc(F)cc3)CC2=O)CC1,-3.82421,1
CC(=O)N1CC[NH+](CCNC=C2C(=O)CC(c3ccccc3)CC2=O)CC1,-4.15663,1
