canonical_smiles,r_i_docking_score,n_measurements
CC(=O)Nc1nc(CC(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)cs1,-8.645041821519218,1
CC(=O)Nc1nc(CC(=O)NCc2ccc(C)cc2)cs1,-9.01482565446964,1
CC(=O)Nc1nc(CC(=O)N[C@@H](C)c2ccccc2)cs1,-8.76123050075819,1
CC(=O)Nc1nc(CC(=O)Nc2cccc(Cl)c2)cs1,-8.87481706074838,1
CC(=O)Nc1nc2c(C)cc(NC(=O)Nc3cccc(Cl)c3)cc2s1,-4.513950137757052,1
CC(=O)Nc1nc2ccc(CCC(=O)Nc3cc(C)cc(C)c3)cc2s1,-9.018373300949726,1
CC(=O)Nc1nc2ccc(CCC(=O)Nc3ccc(Cl)cc3)cc2s1,-9.524650977405567,1
CC(=O)Nc1nc2ccc(NC(=O)Nc3ccc(Br)cc3)cc2s1,-7.9354675479616175,1
CC(=O)Nc1nc2ccc(NC(=O)Nc3cccc(Br)c3)cc2s1,-9.032767105053384,1
CC(=O)Nc1nc2ccc(NC(=O)Nc3cccc(Cl)c3)cc2s1,-7.552131239149477,1
CC(=O)Nc1nc2ccc(NC(=O)Nc3cccc(F)c3)cc2s1,-7.7861275102519985,1
CC(=O)Nc1nc2ccc(NC(=O)Nc3ccccc3)cc2s1,-9.45734476236088,1
CC(=O)Nc1nc2ccc(NS(=O)(=O)c3ccccc3F)cc2s1,-8.535209459685564,1
CC(=O)Nc1nc2ccc([N-]S(=O)(=O)c3ccc(Cl)cc3)cc2s1,-7.597044246158325,1
CC(=O)Nc1nc2ccc([N-]S(=O)(=O)c3ccc(F)c(F)c3)cc2s1,-7.538266809577772,1
CC(=O)Nc1nnc(SCc2cc(=O)n3nc(C(C)C)sc3n2)s1,-9.274690614644785,1
CC(=O)Nc1nnc(SCc2cc(=O)n3nc(C4CC4)sc3n2)s1,-8.680171041483863,1
CC(=O)Nc1nnc([C@@H]2CC(=O)N(c3ccc(C)c(C)c3)C2)s1,-10.241472637577903,1
CC(=O)c1c(C)n(-c2ccc(C)cc2)c2ccc(OC[C@@H](O)C[N@H+]3CC[C@H](C(N)=O)CC3)cc12,-8.960124599287644,1
CC(=O)c1ccc(-n2nnc3c(sc4nc(C)cc(C)c43)c2=O)cc1,-7.688223126004863,1
CC(=O)c1ccc(N(CN2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)C(C)=O)cc1,-7.458445494367977,1
CC(=O)c1ccc(N/C=C2/N=C(c3ccc([N+](=O)[O-])cc3)OC2=O)cc1,-7.223608282684841,1
CC(=O)c1ccc(N2CC(=O)C(c3nc4ccccc4[nH]3)=C2N)cc1,-7.400447428358661,1
CC(=O)c1ccc(NC(=O)CCc2nc(-c3ccco3)no2)cc1,-7.917532806697019,1
CC(=O)c1ccc(NC(=O)CCc2nc(-c3cccs3)no2)cc1,-8.017809577726572,1
CC(=O)c1ccc(NC(=O)CN2C(=O)C(C)(C)c3cc(C)ccc32)cc1,-7.567674476020789,1
CC(=O)c1ccc(NC(=O)COc2cc(Cl)ccc2Cl)cc1,-7.897745614225895,1
CC(=O)c1ccc(NC(=O)COc2ccc(Br)cc2)cc1,-7.543066688416797,1
CC(=O)c1ccc(NC(=O)COc2cccc3c2OC(C)(C)C3)cc1,-8.208485090678938,1
CC(=O)c1ccc(NC(=O)CSc2[nH+]cc(CO)n2CC(=O)NCc2ccccc2)cc1,-7.256572729994149,1
CC(=O)c1ccc(NC(=O)CSc2nc(=O)[nH]c3c2CCC3)cc1,-8.073507348125988,1
CC(=O)c1ccc(NC(=O)CSc2nc(C)cc3c2C(=O)OC3)cc1,-7.980452423507288,1
CC(=O)c1ccc(NC(=O)CSc2nc3ncccc3o2)cc1,-8.536251034615464,1
CC(=O)c1ccc(NC(=O)CSc2ncc(-c3ccc(F)cc3)o2)cc1,-7.75956562612029,1
CC(=O)c1ccc(NC(=O)CSc2ncc(S(=O)(=O)c3ccc(Cl)s3)c(N)n2)cc1,-7.657111457126841,1
CC(=O)c1ccc(NC(=O)CSc2ncc(S(=O)(=O)c3cccs3)c(N)n2)cc1,-7.587845744943428,1
CC(=O)c1ccc(NC(=O)CSc2nccn2Cc2ccccc2Cl)cc1,-7.66224882750824,1
CC(=O)c1ccc(NC(=O)CSc2nnc(-c3ccncc3)n2C)cc1,-8.420227843161964,1
CC(=O)c1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)cc1,-7.592727437781462,1
CC(=O)c1ccc(NC(=O)CSc2nnc(N)s2)cc1,-8.327638945853959,1
CC(=O)c1ccc(NC(=O)CSc2nnc(NC(=O)Nc3ccccc3)s2)cc1,-7.787059087160664,1
CC(=O)c1ccc(NC(=O)CSc2nnc3c(n2)[nH]c2ccccc23)cc1,-8.742012029263046,1
CC(=O)c1ccc(NC(=O)C[C@H](C)n2nc(C)cc2C)cc1,-7.604062479964645,1
CC(=O)c1ccc(NC(=O)Cc2csc(-c3ccccc3)n2)cc1,-7.947367419236161,1
CC(=O)c1ccc(NC(=O)[C@@H](C(C)C)N2C(=O)c3ccccc3C2=O)cc1,-7.812664000402441,1
CC(=O)c1ccc(NC(=O)[C@@H](C)Sc2nnc(-c3ccncc3)o2)cc1,-8.229881725783978,1
CC(=O)c1ccc(NC(=O)[C@H](CC(C)C)N2C(=O)c3ccccc3C2=O)cc1,-7.757389173628349,1
CC(=O)c1ccc(NC(=O)c2c[nH]c(=O)n(-c3ccccc3)c2=O)cc1,-7.2043972236903775,1
CC(=O)c1ccc(NC(=O)c2cc(-c3ccc(Cl)cc3)on2)cc1,-7.356492263197189,1
CC(=O)c1ccc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,-7.538857672911788,1
CC(=O)c1ccc(NC(=O)c2ccc3c(c2)nnn3C(C)C)cc1,-7.285920714896967,1
CC(=O)c1ccc(NC(=O)c2cccc(F)c2)cc1,-7.4022794260233,1
CC(=O)c1ccc(NC(=O)c2cccs2)cc1,-7.646823381465866,1
CC(=O)c1ccc(NC(=O)c2cnc3ccccn3c2=O)cc1,-7.537615913345913,1
CC(=O)c1ccc(NC2=C(Cl)C(=O)O[C@@H]2OC(=O)c2ccccc2)cc1,-7.423863418383399,1
CC(=O)c1ccc(NCN2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)cc1,-7.888606987871263,1
CC(=O)c1ccc(NS(=O)(=O)c2c(C)cc(N3C(=O)CCS3(=O)=O)cc2C)cc1,-7.946447870929658,1
CC(=O)c1ccc(Nc2cc(C)nc3nc(-c4ccc(C)cc4)nn23)cc1,-8.068462585072,1
CC(=O)c1ccc(Nc2cc(C)nc3nc(-c4ccc(Cl)cc4)nn23)cc1,-8.140378964827628,1
CC(=O)c1ccc(Nc2cc(C)nc3nc(-c4ccccc4)nn23)cc1,-8.22010783920921,1
CC(=O)c1ccc(Nc2cc(C)nc3nc(Cc4ccccc4)nn23)cc1,-8.17496432181187,1
CC(=O)c1ccc(S(=O)(=O)NCCOc2ccc(-c3ccc(C)cc3)nn2)cc1,-8.012473009870966,1
CC(=O)c1ccc(S(=O)(=O)NCc2cn3c(C)csc3n2)cc1,-6.853838889042851,1
CC(=O)c1ccc(S(=O)(=O)[N-]c2c[nH+]c(N(C)Cc3ccccc3)c(C(=O)[O-])c2)cc1,-7.897034285365009,1
CC(=O)c1ccc([N-]S(=O)(=O)c2c(C)nc3sc(C)cn3c2=O)cc1,-7.377256924595989,1
CC(=O)c1ccc([N-]S(=O)(=O)c2ccc(-c3cc(C)[nH]n3)s2)cc1,-7.419456119292864,1
CC(=O)c1ccc([N-]S(=O)(=O)c2ccc(-c3cc(C)n[nH]3)s2)cc1,-6.794477497253313,1
CC(=O)c1cccc(N/C(=N\S(=O)(=O)c2ccc(F)cc2)c2ccccc2)c1,-7.703395364621297,1
CC(=O)c1cccc(NC(=O)CCS(=O)(=O)c2cc(-c3cc(C)no3)ccc2C)c1,-6.953869610202455,1
CC(=O)c1cccc(NC(=O)CCc2nc(CSc3nc4ccccc4s3)no2)c1,-7.077044830883736,1
CC(=O)c1cccc(NC(=O)CCn2c(=O)sc3ccccc32)c1,-7.259140370072648,1
CC(=O)c1cccc(NC(=O)CN2c3ccc(Br)cc3-c3ccccc3S2(=O)=O)c1,-6.128238434072781,1
CC(=O)c1cccc(NC(=O)CSc2nc3cc(Cl)ccc3s2)c1,-5.821668362841342,1
CC(=O)c1cccc(NC(=O)CSc2nnc3ccc(-c4ccc(C)cc4)nn23)c1,-5.196454059661983,1
CC(=O)c1cccc(NC(=O)C[C@@H]2Nc3cccc4cccc(c34)NC2=O)c1,-6.840432510468741,1
CC(=O)c1cccc(NC(=O)C[C@H](C)S(=O)(=O)c2ccc3c(c2)NC(=O)CS3)c1,-7.3831343427944995,1
CC(=O)c1cccc(NC(=O)C[C@H]2Nc3cccc4cccc(c34)NC2=O)c1,-9.043907801212256,1
CC(=O)c1cccc(NC(=O)[C@@H]2CCCN(S(=O)(=O)c3c(C)noc3/C=C/c3ccccc3)C2)c1,-6.183314966438742,1
CC(=O)c1cccc(NC(=O)[C@H]2CCCN(S(=O)(=O)c3c(C)noc3/C=C/c3ccccc3)C2)c1,-7.1308801803135005,1
CC(=O)c1cccc(N[C@H]2c3ccccc3C(=O)N2c2ccc(Cl)cn2)c1,-8.035567391955162,1
CC(C)(C)c1ccc(-c2nnc3sc(-c4ccc5c(c4)OCO5)nn23)cc1,-6.776937591144487,1
CC(C)(C)c1ccc(C(=O)Nc2ccc3[nH]c(=O)sc3c2)cc1,-7.098405399309829,1
CC(C)(C)c1ccc(OCC(=O)Nc2ccc3c(c2)NC(=O)CO3)cc1,-7.639010590601692,1
CC(C)C(=O)Nc1nc(-c2ccc3c(c2)NC(=O)CO3)cs1,-8.043258492911573,1
CC(C)Cc1nn2c(=O)cc(COC(=O)CNC(=O)c3ccco3)nc2s1,-5.271696812204926,1
CC(C)NC(=O)C[NH+]1CCN(c2ccc(C(=O)[O-])cc2NC(=O)c2ccc(F)cc2)CC1,-5.302259022656302,1
CC(C)NC(=O)c1cc(-c2ccc(F)cc2)on1,-7.264507124219174,1
CC(C)[C@@H](C(=O)Nc1ccc(C(N)=O)cc1)N1C(=O)c2ccccc2C1=O,-9.15176445575511,1
CC(C)[C@H](C(=O)Nc1ccc(C(N)=O)cc1)N1C(=O)c2ccccc2C1=O,-8.982046696111837,1
CC(C)c1ccc(/C=N/NC(=O)CCc2n[nH]c(=O)[n-]c2=O)cc1,-8.110811283319595,1
CC(C)c1ccc(/C=N/NC(=O)CCc2n[nH]c(=O)[nH]c2=O)cc1,-6.338053472684623,1
CC(C)c1ccc(NC(=O)C2CCN(c3cnccn3)CC2)cc1,-6.3743268507392825,1
CC(C)c1ccc(NC(=O)CCS(=O)(=O)c2ccc3c(c2)NC(=O)CO3)cc1,-8.830032010282903,1
CC(C)c1ccc(OCC(=O)Nc2ccc3c(c2)NC(=O)CO3)cc1,-7.746555747069208,1
CC(C)c1ccc(S(=O)(=O)Nc2cc(C(=O)[O-])ccc2N2CCN(CCC#N)CC2)cc1,-7.653735751108173,1
CC1(C)Cc2cccc(OCC(=O)Nc3ccc(OCC(N)=O)cc3)c2O1,-8.257099457530277,1
CC1=C(C(=O)OCCC#N)[C@@H](c2cccc([N+](=O)[O-])c2)NC(=O)N1,-7.499422250511501,1
CC1=C(C(=O)OCCC#N)[C@@H](c2ccccc2Cl)NC(=O)N1,-7.276454492304245,1
CC1=C(C(=O)OCCC#N)[C@H](c2cccc(Oc3ccccc3)c2)NC(=O)N1,-7.403180746645764,1
CC1=C(C(=O)OCCC#N)[C@H](c2cccc([N+](=O)[O-])c2)NC(=O)N1,-6.793037825093555,1
CC1=C(C(=O)OCCC#N)[C@H](c2ccccc2Cl)NC(=O)N1,-7.284311982297391,1
CC1=C(C(=O)OCc2ccc3c(c2)OCO3)[C@@H](c2ccc(O)cc2)NC(=O)N1,-7.020250935542894,1
CC1=Nc2nc(CCCO)nn2[C@@H](c2ccncc2)/C1=C(\[O-])Nc1ccccc1,-7.030930651774337,1
CC1=Nc2ncnn2[C@H](c2ccc([N+](=O)[O-])cc2)/C1=C(\[O-])OCc1ccccc1,-3.873097605086843,1
CC1CCN(S(=O)(=O)c2ccc(-c3nc(C#N)c(NCCCn4ccnc4)o3)cc2)CC1,-5.424917022861193,1
CCC(=O)N1CCN(c2ccc(Nc3ccccc3)nn2)CC1,-8.097869562239385,1
CCC(=O)N1CCN(c2ccc([N+](=O)[O-])c(NCc3ccccc3)c2)CC1,-7.654837949431075,1
CCC(=O)N1CCN(c2oc(-c3ccc(C)cc3)nc2S(=O)(=O)c2ccccc2)CC1,-7.54187128142124,1
CCC(=O)N1CCN(c2oc(-c3ccc(Cl)cc3)nc2S(=O)(=O)c2ccccc2)CC1,-7.794721831062345,1
CCC(=O)NCc1nc(-c2ccc(C)cc2)no1,-7.649503813607627,1
CCC(=O)NCc1nc(-c2ccc(Cl)cc2)no1,-7.744367826888617,1
CCC(=O)NCc1nc(-c2ccc(OC)cc2)no1,-7.681479864148843,1
CCC(=O)Nc1ccc(C(=O)N/N=C/c2ccc([N+](=O)[O-])cc2)cc1,-8.229994866147742,1
CCC(=O)Nc1ccc(C(=O)N/N=C/c2ccccc2)cc1,-8.445913998396286,1
CCC(=O)Nc1ccc(C(=O)OCc2cc(=O)n3c(C)csc3n2)cc1,-8.790836053126315,1
CCC(=O)Nc1ccc(C(=O)OCc2cc(=O)n3cc(C)sc3n2)cc1,-8.89614764990247,1
CCC(=O)Nc1ccc(C(=O)OCc2cc(=O)n3nc(CC)sc3n2)cc1,-8.748534806438975,1
CCC(=O)Nc1ccc(Nc2cc(N3CCCCC3)nc(C)n2)cc1,-7.58001712185083,1
CCC(=O)Nc1ccc(Nc2nc(C)cc(Nc3ccc(OC)cc3)n2)cc1,-8.300831968233492,1
CCC(=O)Nc1ccc(Nc2nc(C)cc(Nc3ccccc3)n2)cc1,-8.187684734495223,1
CCC(=O)Nc1ccc(OCc2cc(=O)n3cc(Cl)ccc3n2)cc1,-8.733451013297525,1
CCC(=O)Nc1ccc(OCc2cc(=O)n3ccc(C)cc3n2)cc1,-8.677537753599516,1
CCC(=O)Nc1ccc(OCc2cc(=O)n3nc(CC)sc3n2)cc1,-8.733021307376553,1
CCC(=O)Nc1ccc2c(c1)[nH+]c(CN1CCN(C(=O)c3ccccc3)CC1)n2C,-7.8432898063714465,1
